,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last
0,Argentina,ARG,44494502.0,4946805.0,40877099.0,76.372,16.2585101,12390.0,30.5905578,46.36080045,5.0,3.96,21.5019995
1,Australia,AUS,24992369.0,3912924.0,21496436.0,82.49756098,3.249129487,53230.0,,,3.8,3.5874,10.72899967
2,Brazil,BRA,209469333.0,18690609.0,181335507.0,75.456,25.06171624,9140.0,30.53531192,53.80871123,2.2,2.1499,27.52400064
3,China,CHN,1392730000.0,152098421.0,823827650.0,76.47,148.34883330000002,9460.0,35.57958066,63.05300071,4.2,1.7855,43.82800102
4,France,FRA,66987244.0,13420643.0,53887219.0,82.52439024,122.33839569999999,41080.0,,,6.5,3.2349,7.44200021
5,Germany,DEU,82927922.0,17797959.0,64113235.0,80.9902439,237.37096980000004,47090.0,,,8.3,4.2087,5.825000048
6,India,IND,1352617328.0,83591151.0,460295677.0,69.165,454.9380726,2020.0,17.6635168,93.98880258,0.7,0.7776,76.69500256
7,Indonesia,IDN,267663435.0,15677491.0,148084795.0,71.282,147.75219009999998,3840.0,8.178754439,57.4129369,1.2,0.3777,47.22200108
8,Italy,ITA,60431283.0,13749132.0,42566587.0,83.24390244,205.4507479,33730.0,,,3.4,4.0931,17.0
9,Japan,JPN,126529100.0,34892133.0,115920900.0,84.0997561,347.0734584,41310.0,,,13.4,2.4118,8.392999887
10,"Korea, South",KOR,51635256.0,7445058.0,42061563.0,82.62682927,529.6521036,30600.0,,,11.5,2.3661,23.520000699999997
11,Mexico,MEX,126190788.0,9115625.0,101149488.0,74.947,64.91462641,9180.0,41.88906068,65.68296509,1.5,2.2478,26.81899929
12,Netherlands,NLD,17231017.0,3307699.0,15764657.0,81.56097561,511.45791039999995,51260.0,,,,3.5067,12.65999976
13,Russia,RUS,144478050.0,21201732.0,107539347.0,72.11902439,8.822079555,10230.0,56.34119953,77.87514109,8.2,4.0139,5.24699989
14,Saudi Arabia,SAU,33699947.0,1116846.0,28255384.0,74.874,15.67665431,21600.0,,,2.7,2.39,2.9610000160000003
15,Spain,ESP,46723749.0,9054365.0,37528982.0,83.32926829,93.52905826,29340.0,,,3.0,4.0691,11.36199993
16,Switzerland,CHE,8516543.0,1586054.0,6284953.0,83.60243902,215.5213784,84410.0,,,4.7,4.2363,8.983000159
17,Turkey,TUR,82319724.0,6983357.0,61857510.0,77.161,106.96012890000002,10420.0,36.06027686,50.36213194,2.7,1.7605,28.00899887
18,United Kingdom,GBR,66488991.0,12231225.0,55450489.0,81.15609756,274.82739219999996,41770.0,,,2.8,2.8058,12.92399985
19,US,USA,327167434.0,51717496.0,269114845.0,78.53902439,35.76608858,63080.0,,,2.9,2.5948,3.7339999410000004
20,Afghanistan,AFG,37172386.0,960879.0,9477100.0,64.13,56.93776001,550.0,,8.820582327,0.5,0.284,89.3789978
21,Albania,ALB,2866376.0,393976.0,1728969.0,78.333,104.6122628,4860.0,36.25506315,54.88551,2.9,1.1998,54.85400009
22,Algeria,DZA,42228429.0,2686782.0,30670086.0,76.499,17.73007507,3920.0,,,1.9,1.83,26.76200044
23,American Samoa,ASM,55465.0,,48339.0,,277.325,,,,,,
24,Andorra,AND,77006.0,,67813.0,,163.8425532,,,,,3.3333,
25,Angola,AGO,30809762.0,682859.0,20184707.0,60.379,24.71305206,3370.0,,,,0.2149,67.08900166
26,Antigua and Barbuda,ATG,96286.0,8473.0,23685.0,76.752,218.83181820000001,15890.0,,,3.8,2.7647,
27,Arab World,ARB,419790588.0,19133535.0,247363361.0,71.62252633,37.37236537,6367.236882,,,1.624523582,1.097302574,24.82030154
28,Armenia,ARM,2951776.0,332187.0,1864017.0,74.797,103.6802248,4230.0,54.75133382,66.76264983,4.2,2.8989999999999996,40.21000099
29,Aruba,ABW,105845.0,14343.0,45948.0,76.01,588.0277778,23630.0,,,,,
30,Austria,AUT,8847037.0,1681076.0,5157557.0,81.64146341,107.2069267,49310.0,,,7.6,5.1441,7.666000008999999
31,Azerbaijan,AZE,9942334.0,615946.0,5535892.0,72.693,120.26531990000001,4050.0,50.61209719,64.6436151,4.7,3.4466,55.03899956
32,"Bahamas, The",BHS,385640.0,27988.0,320178.0,73.554,38.52547453,30520.0,,,2.9,1.9373,9.94900009
33,Bahrain,BHR,1569439.0,38080.0,1401305.0,77.032,2017.2737,21890.0,,,2.0,0.9257,1.047999978
34,Bangladesh,BGD,161356039.0,8323375.0,59107944.0,72.05199999999999,1239.5793119999998,1750.0,1.498691912,17.77090749,0.8,0.5268,55.49200153
35,Barbados,BRB,286641.0,45297.0,89280.0,78.98100000000001,666.6069767000001,15410.0,,,5.8,2.4886,15.77499981
