,Country Name,Country Code,Total_Pop,Pop_Over_65,Urban_Pop,Life_Expectancy,Pop_Desity,GNI_Per_Capita,Health_Coverage_last,Social_Coverage_last,Hospital_beds_per_1000_last,Physician_per_1000_last,Vulnerable_emp_last,Lat,Long,Confirmed,Deaths,Recovered,Deaths_Rate,Day_Change
0,Argentina,ARG,44494502.0,4946805.0,40877099.0,76.372,16.2585101,12390.0,30.5905578,46.36080045,5.0,3.96,21.5019995,-38.4161,-63.6167,5776.0,300.0,1728.0,0.05193006750908776,165.0
1,Australia,AUS,24992369.0,3912924.0,21496436.0,82.49756098,3.249129487,53230.0,,,3.8,3.5874,10.72899967,-31.9961875,141.2327875,867.375,12.125,767.625,0.017800167701051202,2.625
2,Brazil,BRA,209469333.0,18690609.0,181335507.0,75.456,25.06171624,9140.0,30.53531192,53.80871123,2.2,2.1499,27.52400064,-14.235,-51.9253,156061.0,10656.0,61685.0,0.06828055516397329,9167.0
3,China,CHN,1392730000.0,152098421.0,823827650.0,76.47,148.34883330000005,9460.0,35.57958066,63.05300071,4.2,1.7855,43.82800102,32.82838484848485,111.64908181818183,2545.151515151515,140.5151515151515,2397.787878787879,0.010969499911615837,0.42424242424242425
4,France,FRA,66987244.0,13420643.0,53887219.0,82.52439024,122.3383957,41080.0,,,6.5,3.2349,7.44200021,8.305672727272727,5.42901818181818,16071.09090909091,2392.090909090909,5104.363636363636,0.036566263546510734,52.72727272727273
5,Germany,DEU,82927922.0,17797959.0,64113235.0,80.9902439,237.37096980000004,47090.0,,,8.3,4.2087,5.825000048,51.0,9.0,171324.0,7549.0,143300.0,0.04406245439953305,736.0
6,India,IND,1352617328.0,83591151.0,460295677.0,69.165,454.9380726,2020.0,17.6635168,93.98880258,0.7,0.7776,76.69500256,21.0,78.0,62808.0,2101.0,19301.0,0.033450620134057224,3113.0
7,Indonesia,IDN,267663435.0,15677491.0,148084795.0,71.282,147.75219009999995,3840.0,8.178754439,57.4129369,1.2,0.3777,47.22200108,-0.7893,113.9213,13645.0,959.0,2607.0,0.07027700425032976,533.0
8,Italy,ITA,60431283.0,13749132.0,42566587.0,83.24390244,205.4507479,33730.0,,,3.4,4.0931,17.0,43.0,12.0,218268.0,30395.0,103031.0,0.1392547727803765,1083.0
9,Japan,JPN,126529100.0,34892133.0,115920900.0,84.0997561,347.0734584,41310.0,,,13.4,2.4118,8.392999887,36.0,138.0,15663.0,607.0,5906.0,0.03875127681307457,88.0
