,UID,iso2,iso3,code3,FIPS,county,Province_State,Country_Region,Lat,Long_,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20
0,16,AS,ASM,16,00060,0,American Samoa,US,-14.270999999999999,-170.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,316,GU,GUM,316,00066,0,Guam,US,13.4443,144.7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,7,2,1,12,2,3,5,8,6,4,1,2,11,8,5,2,9,19,1,8,0,7,2,3,0,0,0,2,0,1,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0
2,580,MP,MNP,580,00069,0,Northern Mariana Islands,US,15.0979,145.6739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,630,PR,PRI,630,00072,0,Puerto Rico,US,18.2208,-66.5901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,7,2,8,8,12,13,15,21,27,47,65,47,30,0,136,23,38,60,47,63,42,63,109,6,20,51,69,25,50,95,39,46,-46,164,-140,31,64,18,11,33,106,36,182,51,35,81,44,63,125,17
4,850,VI,VIR,850,00078,0,Virgin Islands,US,18.3358,-64.8963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,10,0,0,2,3,1,7,0,0,0,7,3,2,1,0,2,0,5,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,9,0,0,0,0,0,0,0,2,0
5,84001001,US,USA,840,01001,Autauga,Alabama,US,32.53952745,-86.64408227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,2,0,0,4,1,2,0,-1,1,2,2,2,1,3,0,1,2,1,3,1,-2,3,3,5,0,5,3,6,1
6,84001003,US,USA,840,01003,Baldwin,Alabama,US,30.72774991,-87.72207058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,5,5,3,1,1,4,4,1,0,9,4,2,12,3,7,5,1,15,4,10,2,6,3,5,6,9,11,4,0,14,7,3,3,0,1,6,6,1,1,7,9,3,8
7,84001005,US,USA,840,01005,Barbour,Alabama,US,31.868263,-85.3871286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,0,1,0,1,1,2,1,3,2,2,6,1,1,2,0,1,2,2,0,2,3,1,2,0,2,0,4,2,5
8,84001007,US,USA,840,01007,Bibb,Alabama,US,32.99642064,-87.12511459999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,2,1,1,0,2,2,3,1,0,1,4,2,2,2,4,0,2,-1,1,0,4,4,0,0,0,0,0,1,-1,1,0,1,0,1
9,84001009,US,USA,840,01009,Blount,Alabama,US,33.98210918,-86.56790593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,3,1,0,0,0,0,1,1,0,1,1,2,1,1,2,0,1,1,4,3,2,0,0,3,0,0,2,1,2,1,0,0,0,2,2,0,0
10,84001011,US,USA,840,01011,Bullock,Alabama,US,32.10030533,-85.71265535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,1
11,84001013,US,USA,840,01013,Butler,Alabama,US,31.75300095,-86.68057478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,1,2,5,-3,1,0,1,2,2,2,0,11,2,11,5,3,12,27,13,9,6,10,25,7,16
12,84001015,US,USA,840,01015,Calhoun,Alabama,US,33.77483727,-85.82630386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,1,2,1,6,3,2,11,7,8,4,1,3,2,2,1,0,0,1,3,5,9,3,2,3,1,0,2,-1,2,1,1,-1,5,7,0,9,0,6,3,1
13,84001017,US,USA,840,01017,Chambers,Alabama,US,32.91360079,-85.39072749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,3,5,3,0,4,10,6,3,6,25,13,7,2,5,7,8,42,17,13,17,14,4,5,10,5,4,5,12,2,11,5,7,0,3,4,2,2,2,-5,4,6,2,2,2,2,3,3
14,84001019,US,USA,840,01019,Cherokee,Alabama,US,34.17805983,-85.60638968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,-1,0,0,2,0,1,0,0,0,0,1,0,1,1,0,3,1
15,84001021,US,USA,840,01021,Chilton,Alabama,US,32.85044126,-86.7173256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,3,1,2,1,1,0,0,4,1,0,5,1,4,0,3,0,2,2,0,2,2,2,1,2,1,2,0,2,0,1,1,0,-1,2,3,1,2,1,2,0,1
16,84001023,US,USA,840,01023,Choctaw,Alabama,US,32.02227341,-88.26564429999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,2,0,2,0,1,0,1,0,3,1,3,1,3,0,7,7,0,0,4,6,0,0,2,3,0,2,3,2
