,alpha-3,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20
0,AFG,,Afghanistan,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.013333333333333334,0.023529411764705882,0.042105263157894736,0.036036036036036036,0.036036036036036036,0.03305785123966942,0.023391812865497075,0.022857142857142857,0.01680672268907563,0.021897810218978103,0.02127659574468085,0.023333333333333334,0.02,0.029891304347826088,0.0330188679245283,0.03146067415730337,0.030927835051546393,0.028735632183908046,0.03237410071942446,0.029605263157894735,0.03153153153153153,0.032167832167832165,0.03184713375796178,0.0356718192627824,0.03307607497243661,0.032119914346895075,0.033099297893681046,0.035053554040895815,0.03293687099725526,0.033984706881903144,0.0328125,0.031804733727810654,0.03210382513661202,0.03263707571801567,0.03345070422535211,0.03171131765992345,0.030927835051546393,0.029465930018416207,0.02910958904109589,0.029149797570850202,0.031423290203327174,0.031088082901554404,0.02945736434108527,0.03065134099616858,0.02974186307519641,0.02884360942048161,0.028507684680218144
1,ALB,,Albania,41.1533,20.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.041666666666666664,0.029411764705882353,0.02564102564102564,0.023255813953488372,0.019230769230769232,0.017857142857142856,0.03333333333333333,0.03076923076923077,0.028169014084507043,0.025974025974025976,0.022222222222222223,0.0380952380952381,0.04032258064516129,0.034013605442176874,0.03428571428571429,0.0427807486631016,0.050505050505050504,0.046948356807511735,0.049107142857142856,0.06147540983606557,0.057692307692307696,0.05755395683453238,0.05573770491803279,0.059880239520958084,0.055248618784530384,0.05555555555555555,0.057291666666666664,0.05486284289276808,0.05609756097560976,0.05515587529976019,0.052995391705069124,0.05145413870246085,0.049145299145299144,0.05042016806722689,0.050505050505050504,0.05009633911368015,0.04814814814814815,0.04735883424408015,0.046181172291296625,0.044444444444444446,0.04262295081967213,0.04251968503937008,0.04066265060240964,0.039764359351988215,0.037868162692847124,0.03851444291609354,0.037991858887381276,0.03994673768308921,0.03911342894393742,0.040051679586563305,0.03959131545338442,0.039240506329113925,0.038944723618090454,0.03855721393034826,0.037758830694275276,0.03721488595438175,0.036773428232502965,0.036427732079905996,0.03617269544924154
2,DZA,,Algeria,28.0339,1.6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07407407407407407,0.07894736842105263,0.08163265306122448,0.07272727272727272,0.06557377049180328,0.09333333333333334,0.10227272727272728,0.12087912087912088,0.10714285714285714,0.08415841584158416,0.0735930735930736,0.07169811320754717,0.06930693069306931,0.06793478260869565,0.06341463414634146,0.06373626373626373,0.060546875,0.05982905982905983,0.061366806136680614,0.06839622641509434,0.08713272543059777,0.08959044368600683,0.10383386581469649,0.11506434519303559,0.12148876404494383,0.13138189244383935,0.13032422123331214,0.14097180563887224,0.1452894438138479,0.15060240963855423,0.15300261096605744,0.15776209677419356,0.15741187831965234,0.15548357242017585,0.15337152930806522,0.15047540305911533,0.14477317554240632,0.14258555133079848,0.14122839279146746,0.13940256045519203,0.13809687392648573,0.13530585106382978,0.13267263427109974,0.12864599324531778,0.12562814070351758,0.12279704377487209,0.11972602739726028,0.11535463756819954,0.1123034689293736,0.10902527075812274,0.10684357541899442,0.103463687150838,0.100021510002151,0.09712750568299236,0.09523809523809523,0.09318927262203357,0.09087523277467412,0.088864903759669
3,AND,,Andorra,42.5063,1.5218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.007462686567164179,0.006060606060606061,0.005291005291005291,0.013333333333333334,0.011194029850746268,0.009708737864077669,0.01791044776119403,0.0215633423180593,0.03183023872679045,0.03580562659846547,0.03496503496503497,0.03636363636363636,0.03640256959314775,0.035856573705179286,0.039923954372623575,0.040293040293040296,0.04070796460176991,0.04280821917808219,0.04318936877076412,0.04318936877076412,0.04538341158059468,0.04482225656877898,0.04696969696969697,0.04896142433234421,0.04896142433234421,0.05021520803443329,0.04964539007092199,0.05042016806722689,0.05153203342618384,0.05153203342618384,0.05110497237569061,0.05110497237569061,0.0546448087431694,0.05412719891745602,0.05412719891745602,0.053763440860215055,0.05510752688172043,0.056451612903225805,0.05630026809651475,0.057640750670241284,0.058823529411764705,0.06008010680907877,0.05992010652463382,0.061170212765957445,0.061170212765957445,0.06241699867197875,0.06241699867197875,0.06357615894039735
4,AGO,,Angola,-11.2027,17.8739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18181818181818182,0.13333333333333333,0.11764705882352941,0.1111111111111111,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07407407407407407,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06451612903225806,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.045454545454545456,0.045454545454545456
5,ATG,,Antigua and Barbuda,17.0608,-61.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.1,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125,0.125,0.125,0.125,0.125,0.125,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
6,ARG,,Argentina,-38.4161,-63.6167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.05555555555555555,0.05,0.05,0.0625,0.05714285714285714,0.043478260869565216,0.03508771929824561,0.028985507246376812,0.025,0.030612244897959183,0.023255813953488372,0.025157232704402517,0.0149812734082397,0.013245033112582781,0.015463917525773196,0.020618556701030927,0.017892644135188866,0.022033898305084745,0.02604920405209841,0.02546916890080429,0.028014616321559074,0.025592417061611375,0.026540284360189573,0.031746031746031744,0.030805687203791468,0.029614325068870524,0.030303030303030304,0.030868167202572346,0.03437691835481891,0.03671328671328671,0.0400890868596882,0.04149797570850203,0.04200404858299595,0.041997200186654225,0.04391127206880942,0.04477611940298507,0.04541734860883797,0.04471228615863142,0.046067415730337076,0.04675607104023197,0.04647887323943662,0.046227056424201225,0.04848284960422163,0.04833068362480127,0.0480209545983702,0.04878048780487805,0.048928854800317376,0.04931929103519137,0.0492007992007992,0.0501453488372093,0.049930004666355575,0.049221043124858886,0.04963600264725347,0.05061939342161469,0.05142140468227425,0.05319148936170213,0.05257916749651464,0.052409291610673835,0.05249441548771407,0.05220955096222381,0.05193006750908776
7,ARM,,Armenia,40.0691,45.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0030303030303030303,0.0024509803921568627,0.007058823529411765,0.006211180124223602,0.005628517823639775,0.006993006993006993,0.010542168674698794,0.009497964721845319,0.009079118028534372,0.00850546780072904,0.009592326139088728,0.00936768149882904,0.01020408163265306,0.010845986984815618,0.01279317697228145,0.013429752066115703,0.01282051282051282,0.013461538461538462,0.0149812734082397,0.015287769784172662,0.015517241379310345,0.015806988352745424,0.016012810248198558,0.015479876160990712,0.016417910447761194,0.017118402282453638,0.016282225237449117,0.015748031496062992,0.016906700062617408,0.0166865315852205,0.01602747567258157,0.016030956329463792,0.016059957173447537,0.015519917227108122,0.015481373971940009,0.015355979525360632,0.014511873350923483,0.01466275659824047,0.01555023923444976,0.015267175572519083,0.01437297879985627,0.014558058925476604,0.01419141914191419,0.013853904282115869
8,AUS,Australian Capital Territory,Australia,-35.4735,149.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.012345679012345678,0.011764705882352941,0.011363636363636364,0.010869565217391304,0.02127659574468085,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.02,0.019801980198019802,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019417475728155338,0.019230769230769232,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02830188679245283,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.028037383177570093,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
9,AUS,New South Wales,Australia,-33.8688,151.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.037037037037037035,0.034482758620689655,0.05128205128205128,0.04081632653061224,0.03571428571428571,0.030303030303030304,0.030303030303030304,0.021505376344086023,0.017699115044247787,0.014814814814814815,0.011627906976744186,0.018957345971563982,0.018656716417910446,0.016233766233766232,0.01694915254237288,0.013729977116704805,0.008955223880597015,0.008955223880597015,0.008547008547008548,0.006796116504854369,0.005737704918032787,0.004978662873399715,0.004944375772558714,0.004464285714285714,0.003935071323167732,0.003935071323167732,0.004122766834631242,0.004349717268377556,0.00502092050209205,0.0048115477145148355,0.006199147617202635,0.006823351023502654,0.007815407517677708,0.007678244972577696,0.007570295602018745,0.0077931278781438185,0.008047585724282715,0.008397480755773267,0.008729050279329608,0.008707767328456984,0.008659508139937652,0.00862663906142167,0.008882815169115136,0.008852570650323459,0.00878972278566599,0.008771929824561403,0.008754208754208754,0.008748317631224764,0.010413167618407793,0.011062688568555145,0.011018363939899833,0.011322011322011322,0.011314475873544094,0.012926748425588332,0.013258203513423931,0.013549239920687376,0.013526888815572418,0.01383399209486166,0.013843111404087014,0.014163372859025032,0.014459415050936576,0.01444991789819376,0.014435695538057743,0.014416775884665793,0.014407334643091027
